Schlüssel,Straftat,Gemeinde-schlüssel,Stadt-/Landkreis,Kreisart,erfasste Fälle,HZ nach Zensus,Unique Ids
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09275,Passau,LK,16,"8,39877377902826","Passau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09276,Regen,LK,5,"6,45252874601556","Regen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09277,Rottal-Inn,LK,9,"7,47688396706848","Rottal-Inn, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09278,Straubing-Bogen,LK,9,"9,01460365792584","Straubing-Bogen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09279,Dingolfing-Landau,LK,7,"7,30452567540775","Dingolfing-Landau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09361,Amberg,KfS,8,"18,9358076121947","Amberg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09362,Regensburg,KfS,31,"20,5442230970085","Regensburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09363,Weiden i.d.OPf.,KfS,11,"25,8561925581177","Weiden i.d.OPf., KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09371,Amberg-Sulzbach,LK,17,"16,5311758528142","Amberg-Sulzbach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09372,Cham,LK,14,"10,9942751238819","Cham, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09373,Neumarkt i.d.OPf.,LK,19,"14,3240553662435","Neumarkt i.d.OPf., LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09374,Neustadt a.d.Waldnaab,LK,17,"17,9920834832674","Neustadt a.d.Waldnaab, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09375,Regensburg,LK,30,"15,6087408949011","Regensburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09376,Schwandorf,LK,38,"25,9408684729703","Schwandorf, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09377,Tirschenreuth,LK,17,"23,3741234703699","Tirschenreuth, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09461,Bamberg,KfS,14,"18,1396493864911","Bamberg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09462,Bayreuth,KfS,21,"28,3787618751605","Bayreuth, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09463,Coburg,KfS,3,"7,27519643030362","Coburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09464,Hof,KfS,16,"34,8204570184984","Hof, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09471,Bamberg,LK,24,"16,3728647055613","Bamberg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09472,Bayreuth,LK,26,"25,0469630557295","Bayreuth, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09473,Coburg,LK,7,"8,05662657535823","Coburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09474,Forchheim,LK,15,"12,9666928882012","Forchheim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09475,Hof,LK,17,"17,7503054096666","Hof, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09476,Kronach,LK,12,"17,7846281530664","Kronach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09477,Kulmbach,LK,14,"19,4412042437372","Kulmbach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09478,Lichtenfels,LK,8,"11,9801728139928","Lichtenfels, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09479,Wunsiedel i.Fichtelgebirge,LK,8,"10,8865754915969","Wunsiedel i.Fichtelgebirge, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09561,Ansbach,KfS,12,"28,8101411696917","Ansbach, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09562,Erlangen,KfS,15,"13,5137570046307","Erlangen, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09563,Fürth,KfS,15,"11,8552708534214","Fürth, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09564,Nürnberg,KfS,94,"18,2453062008808","Nürnberg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09565,Schwabach,KfS,4,"9,80848924744366","Schwabach, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09571,Ansbach,LK,20,"10,9136945038634","Ansbach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09572,Erlangen-Höchstadt,LK,11,"8,1280387781341","Erlangen-Höchstadt, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09573,Fürth,LK,9,"7,74573339185665","Fürth, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09574,Nürnberger Land,LK,50,"29,4547339648428","Nürnberger Land, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09575,Neustadt a.d.Aisch-Bad Windsheim,LK,13,"13,0468381489548","Neustadt a.d.Aisch-Bad Windsheim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09576,Roth,LK,16,"12,6882419647743","Roth, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09577,Weißenburg-Gunzenhausen,LK,8,"8,49184782608696","Weißenburg-Gunzenhausen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09661,Aschaffenburg,KfS,11,"15,7304656217824","Aschaffenburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09662,Schweinfurt,KfS,13,"24,327713007841","Schweinfurt, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09663,Würzburg,KfS,16,"12,6347376317764","Würzburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09671,Aschaffenburg,LK,46,"26,4414924498043","Aschaffenburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09672,Bad Kissingen,LK,6,"5,81029390403331","Bad Kissingen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09673,Rhön-Grabfeld,LK,13,"16,2915434357612","Rhön-Grabfeld, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09674,Haßberge,LK,8,"9,47149081265391","Haßberge, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09675,Kitzingen,LK,16,"17,6934390516317","Kitzingen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09676,Miltenberg,LK,21,"16,3444475576726","Miltenberg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09677,Main-Spessart,LK,6,"4,74222078199221","Main-Spessart, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09678,Schweinfurt,LK,14,"12,1628078710742","Schweinfurt, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09679,Würzburg,LK,14,"8,67732738316599","Würzburg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09761,Augsburg,KfS,40,"13,6588230875087","Augsburg, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09762,Kaufbeuren,KfS,8,"18,4001104006624","Kaufbeuren, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09763,Kempten (Allgäu),KfS,11,"16,0983462607932","Kempten (Allgäu), KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09764,Memmingen,KfS,4,"9,20174833218312","Memmingen, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09771,Aichach-Friedberg,LK,23,"17,3459229539353","Aichach-Friedberg, LK"
