,kilometers,model_group,model_name,offer_id,price,text,url,zip_code
71,1994,kleinwagen,Peugeout-207,173,1.000 € ,Das Auto ist läuft gut Motor Getriebe alles okay Kein TÜF keine Rost.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7743
72,139.500 km,kleinwagen,Peugeout-207,174,449 €,Verkaufe generalüberholtes Getriebe LVE !Bei dem Getriebe handelt es sich um ein manuelles 5 -...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7743
73,2002,kleinwagen,Peugeout-207,175,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7747
74,139.500 km,kleinwagen,Peugeout-207,176,60 €,Biete hier 4 Räder für einen VW Polo 86 C Standort Schöps bei Jena.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7751
75,2002,kleinwagen,Peugeout-207,177,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7747
76,198.000 km,kleinwagen,Peugeout-207,191,2.700 € ,Super Wagen hat mich nie im Stich gelassen!Klimakompressor muss neu !Bei den Sitzen müssen die...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
77,2007,kleinwagen,Peugeout-207,192,1.400 €,Hallo verkaufe hier mein schön VW Polo Tuning mit 75Ps. Fahrzeug wurde mit sehr viel Liebe...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21147
78,248.900 km,kleinwagen,Peugeout-207,193, ,"einfach komplettpreis schicken, in Hamburg und Umgebung!",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21149
79,2000,kleinwagen,Peugeout-207,194,650 € ,"Gute zustand!!!Ich verkaufe mein Polo-Auto 1.4 benzin,weil ich es nicht benutze. Es hat...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21077
80,223.025 km,kleinwagen,Peugeout-207,195,350 €,"VW Polo Open Air, 1,4l 60PS, km 162.000Bj: 1996, TÜV 07/2019Beule Radlauf/Tür hinten...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
81,1998,kleinwagen,Peugeout-207,196,1.000 €,"Ich verkaufe meinen VW Polo 9 N . Er ist in einem guten Zustand, absolut zuverlässig , Motor und...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21075
82,162.000 km,kleinwagen,Peugeout-207,197,350 €,"Verkaufe ein Polo kein tüv mehr steht seid ein Jahr soll ihn verkaufen,als Bastler Fahrzeug...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21149
83,1996,kleinwagen,Peugeout-207,198,950 €,Vw polo guter Zustand,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
84,170.000 km,kleinwagen,Peugeout-207,199,19 €,Zu Verkaufen Ein Spiegel Polo 1N 9 Gebraucht Zu Standt Bitte Bilder Kuken PR Verkauf Keine Garantie...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
85,2002,kleinwagen,Peugeout-207,200,1.700 € ,"Hallo,!!Vorab, auf Wunsch auch TÜV neu!!hiermit verkaufe ich meinen sehr gut erhaltenen und...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21147
86,224 km,Wohnmobil,Fiat-Ducato,201,2.900 € ,SONDEREDITION VW POLO 1.2 CRICKETWartungen regelmäßig durchgeführtSuper sparsam und perfekt für...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
87,2001,Wohnmobil,Fiat-Ducato,202, ,Verkaufe diverse gebrauchte Motorsteuergeräte. Die Teilenummern und Daten bitte den Bildern...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21079
88,1997,Wohnmobil,Fiat-Ducato,204,10 €,"KathisCars.deGebraucht- und Neuteile-Handelmit Selbsthilfe-Werkstat​tHannoversche Str.17, 21079...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21077
89,136.985 km,Wohnmobil,Fiat-Ducato,205,1.200 € ,So wird´s gemacht.Pflegen -Warten - ReparierenReparaturanleitung für VW Polo 9/81 bis...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21129
90,2004,Wohnmobil,Fiat-Ducato,206,2.700 € ,"Moin, verkaufe hiermit meinen treuen polo 6n1 open air..Der polo ist sehr zuverlässig und hat mich...",https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
91,110.000 km,Wohnmobil,Fiat-Ducato,207,800 € ,VW Polo 1.2 Trendline 54 PS4x Neues GanzjahresreifenKlimaanlageServolenkungEl. Fensterheber...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
92,2019,Wohnmobil,Fiat-Ducato,208,50 € ,Verkaufe Ein VW schwarz keine Unfälle. Das einzige Problem ist das der Auspuff kaput ist.Das Auto...,https://www.ebay-kleinanzeigen.de/s-hamburg/anzeige:angebote/seite:1/VW-Polo/k0l9440,21073
93,148.000 km,Wohnmobil,VW-Transporter,286,4.000 €,"Frische TÜV, Winterreifen, Navi, rückwärtscamera, lederlenkrad.Gibts kleine Schäden (Foto)",https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,81375
94,2010,Wohnmobil,VW-Transporter,287,650 €,"Preis: 650,00,-€VW Polo: Open Air DachBaujahr: 2000Erstzulassung: 05/2000Kilometerstand:...",https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,80339
95,229.800 km,Wohnmobil,VW-Transporter,288,15 € ,Original Volkswagen Radkappen.Durchmesser: ca. 39 cm.Sie besitzen auf der Rückseite Metallclips...,https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,81375
96,2000,Wohnmobil,VW-Transporter,289,90 €,hallo habe hier noch ein 007p turbo Pop Off ventiel. Für viele Fahrzeug Modelle 1:1 passend z.b VW...,https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,80331
97,105.334 km,Wohnmobil,VW-Transporter,290,6.500 € ,hier verkaufe ich meinen poloscheckheftgepflegt letzte Inspektion beim 88000 km in einem sehr...,https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,80687
98,2013,Wohnmobil,VW-Transporter,291,1.150 € ,Schöner Vw Polo absolut Rostfrei.Vier TürigFunk Zentralveriegelung. Zwei...,https://www.ebay-kleinanzeigen.de/s-muenchen/anzeige:angebote/seite:1/VW-Polo/k0l6411,81379
